epoch,loss,val_loss
0,17.332701297846505,14.761015476048089
1,16.198806841078685,14.848649513355557
2,15.344828909693376,13.267286198975004
3,13.804574994040953,12.739005053370757
4,11.583296643766065,10.393388469307796
5,10.436347819583517,10.13718355915273
6,10.223555993660701,9.980357163942303
7,10.0923219526467,9.963944436660299
8,10.005265546598718,9.824947295550961
9,9.89684003543406,9.835942137414689
10,9.838092993107946,9.696856558804365
11,9.750528640388882,9.613725398776989
12,9.658079762555811,9.618534320775835
13,9.605213479712162,9.500345062169583
14,9.517021346699922,9.41279902481301
15,9.47917227248071,9.340259947953971
16,9.400768118934453,9.318683276076309
17,9.3430537034275,9.261611540983875
18,9.268146229238017,9.208668653337174
19,9.217638940199253,9.110206003142867
20,9.152748818016947,9.111585757266338
21,9.103356240471017,9.03326662676785
22,9.042162872069692,8.966685586291485
23,8.997241761680687,8.90844207819136
24,8.930462148394756,8.925887369762908
25,8.886320289707333,8.89194312580953
26,8.851951697354025,8.774021880499573
27,8.804039303685578,8.74580748285346
28,8.741385232136528,8.818006911454948
29,8.715471038161683,8.65605003806809
30,8.649358017612512,8.610477729452253
31,8.593500607092055,8.570156481038772
32,8.530967426150804,8.535347220585688
33,8.493030645791354,8.518012525962128
34,8.456372845788517,8.508703808021853
35,8.375393922802802,8.440344231194171
36,8.29312708706923,8.237135364859093
37,7.991523657516694,7.899189093964165
38,7.798397301269436,7.663876308570578
39,7.620799697046175,7.502530913745837
40,7.468968154910211,7.407612540225028
41,7.333878432126112,7.188086442685474
42,7.145940473478912,7.026093565397001
43,6.9242445016969825,6.771204268219783
44,6.768496373479541,6.741782583597211
45,6.613976491217695,6.453138818263238
46,6.45367169020508,6.306518396768894
47,6.306866112113559,6.124379067890864
48,6.180805198493324,5.956930250651617
49,6.088740449391993,5.918427223920437
50,5.986835767868352,5.73985591882265
51,5.906327489112651,5.644953912602488
52,5.8208954434850035,5.678527963758478
53,5.7346901235893855,5.77689024165682
54,5.677060485968195,5.467453465900822
55,5.5878267348204425,5.400584505910057
56,5.545933043579914,5.3709297141659045
57,5.461757367143788,5.345037146800939
58,5.418911138245011,5.241583251799058
0,24.28338623046875,18.726716166359157
0,23.904445266723634,19.17940014360024
0,16.847494839153036,15.018157410506094
1,15.7080974447522,14.306937197683702
2,14.970227650745374,13.826043432479144
3,14.777316880621633,13.687464979045417
4,14.642040186540248,13.55438008870755
5,12.49734404057964,10.224284270660943
6,10.217013751643364,9.97607843710263
7,10.03952450685098,9.860721769933747
8,9.925594897113495,9.783246692047365
9,9.816838206886686,9.620615117962025
10,9.7438826334719,9.654955688316333
11,9.640229130298692,9.511575275168473
12,9.579253598095292,9.454900610620255
13,9.515021471283246,9.418685663497506
14,9.436830226817664,9.34104948860378
15,9.378537083030306,9.314047924343718
16,9.297417583823764,9.227350439894373
17,9.237674275966878,9.134313147364603
18,9.166084794595207,9.093360575797677
19,9.117155008868245,9.036979952613448
20,9.032799915558483,9.007906770475076
21,8.972705072423848,8.976427132170498
22,8.89683006089618,8.8958747167387
23,8.7983926451001,8.772433049844425
24,8.571724074427884,8.448143621638826
25,8.212632565864002,8.103459697162585
26,7.943579073638797,7.722516934975669
27,7.63134692815921,7.313152954150864
28,7.309972556832249,6.990921207699136
29,7.054877030845725,6.829044594710786
30,6.850916364025062,6.5610084795605195
31,6.671510690456265,6.327545632838433
32,6.516847629233705,6.23135001285781
33,6.379959236198748,6.1302506773460275
34,6.260533134821622,5.955948624741858
35,6.137964306400042,5.913516972099637
36,6.040122510136946,5.766342976559344
37,5.937125083060705,5.688708767559686
38,5.849923989231784,5.64149798484149
39,5.78028689526243,5.667847626428804
40,5.709378958255845,5.446190334868547
41,5.624249652570029,5.359760604112714
42,5.562025265805598,5.386111368847971
43,5.492470912142971,5.2865278886477665
44,5.454034071632767,5.233042917266993
45,5.38878888616726,5.181799255395744
46,5.335077546049545,5.139515123382716
47,5.280241942622106,5.11119799621656
48,5.246061381159441,5.02199219887014
49,5.194213387902727,5.022230557363137
50,5.141450550933026,5.104477751428361
51,5.113075224961474,4.918246692139806
52,5.069537362544936,4.909560218188605
53,5.036055244839807,4.861531212949984
54,4.981195640802756,4.857323542550231
55,4.957759821105265,4.871011094631016
56,4.910827958923364,4.82342041752065
57,4.883667617407136,4.815000416196414
58,4.830184123467578,4.742803038225806
59,4.815731685456349,4.7120398019165135
60,4.782538491743085,4.748655089654137
61,4.752629184722901,4.6939702249690285
62,4.716092108919027,4.737526896697061
63,4.699104848310981,4.686126439367242
64,4.672321468615943,4.668429709790404
65,4.6377931597161925,4.594606719995354
66,4.602784961482542,4.585766853153802
67,4.580328541070642,4.629316125047033
68,4.571789300512633,4.64668479605137
69,4.53235042470535,4.646372516243831
70,4.511053389241811,4.534620592397712
71,4.5015323800123515,4.4944862433512105
72,4.475048799186432,4.524080077742914
73,4.420221083526134,4.426030609642361
74,4.419631988811941,4.441971150276541
